episode,score,avg_reward_5,epsilon,steps,loss
1,-20.0,-20.0,0.995,1083,0.010982407449894805
2,-21.0,-20.5,0.990025,812,0.017911555292084925
3,-20.0,-20.333333333333332,0.985074875,903,0.02292663677756668
4,-19.0,-20.0,0.9801495006250001,951,0.02542822786659976
5,-18.0,-19.6,0.9752487531218751,1071,0.022812496171131385
6,-21.0,-19.8,0.9703725093562657,942,0.02497560583794541
7,-20.0,-19.6,0.9655206468094844,903,0.02399494492372223
8,-21.0,-19.8,0.960693043575437,962,0.022647101873362035
9,-19.0,-19.8,0.9558895783575597,968,0.023529744349263245
10,-21.0,-20.4,0.9511101304657719,792,0.01860552164672676
11,-21.0,-20.4,0.946354579813443,1034,0.023478210903156622
12,-21.0,-20.6,0.9416228069143757,825,0.023953226597760946
13,-20.0,-20.4,0.9369146928798039,890,0.021275835439891116
14,-21.0,-20.8,0.9322301194154049,845,0.0240352857543548
15,-21.0,-20.8,0.9275689688183278,764,0.024763564128434203
16,-20.0,-20.6,0.9229311239742362,998,0.02432223185087332
17,-21.0,-20.6,0.918316468354365,852,0.024715887333710235
18,-21.0,-20.8,0.9137248860125932,792,0.02160383203770816
19,-21.0,-20.8,0.9091562615825302,824,0.024241298291175536
20,-20.0,-20.6,0.9046104802746175,889,0.0253222883005296
21,-21.0,-20.8,0.9000874278732445,824,0.025386142648805166
22,-21.0,-20.8,0.8955869907338783,902,0.023283598458136538
23,-20.0,-20.6,0.8911090557802088,842,0.02468815932365996
24,-21.0,-20.6,0.8866535105013078,811,0.023678331776351567
25,-20.0,-20.6,0.8822202429488013,861,0.024082556513926927
26,-20.0,-20.4,0.8778091417340573,878,0.02427499830606261
27,-20.0,-20.2,0.8734200960253871,950,0.021370359410832047
28,-20.0,-20.2,0.8690529955452602,933,0.02646681470411534
29,-20.0,-20.0,0.8647077305675338,1009,0.025147830302724605
30,-21.0,-20.2,0.8603841919146962,764,0.025199156498903086
31,-20.0,-20.2,0.8560822709551227,861,0.02338469189848528
32,-21.0,-20.4,0.851801859600347,871,0.02250367059134055
33,-21.0,-20.6,0.8475428503023453,820,0.021804052504402777
34,-20.0,-20.6,0.8433051360508336,871,0.02473203629025672
35,-20.0,-20.4,0.8390886103705794,843,0.026490818912930918
36,-21.0,-20.6,0.8348931673187264,843,0.026054682042369617
37,-20.0,-20.4,0.8307187014821328,843,0.022087589236166084
38,-21.0,-20.4,0.8265651079747222,850,0.023158133200862827
39,-20.0,-20.4,0.8224322824348486,1084,0.023064139638245586
40,-20.0,-20.4,0.8183201210226743,983,0.021721895736620155
41,-20.0,-20.2,0.8142285204175609,1026,0.023270245850768975
42,-21.0,-20.4,0.810157377815473,764,0.02572752736498637
43,-21.0,-20.4,0.8061065909263957,969,0.02195096459098317
44,-21.0,-20.6,0.8020760579717637,764,0.024148195231298634
45,-21.0,-20.8,0.798065677681905,764,0.02498772364376108
46,-20.0,-20.8,0.7940753492934954,903,0.024333234434164307
47,-21.0,-20.8,0.7901049725470279,764,0.024908898694880176
48,-21.0,-20.8,0.7861544476842928,792,0.020627243881983413
49,-21.0,-20.8,0.7822236754458713,825,0.02150554665674766
50,-20.0,-20.6,0.778312557068642,887,0.02443319750621494
51,-21.0,-20.8,0.7744209942832988,764,0.024403068068654908
52,-21.0,-20.8,0.7705488893118823,764,0.026129704136034188
53,-21.0,-20.8,0.7666961448653229,764,0.0272050540975334
54,-21.0,-20.8,0.7628626641409962,764,0.02858613074063238
55,-20.0,-20.8,0.7590483508202912,870,0.023979407674117794
56,-21.0,-20.8,0.7552531090661897,764,0.024091170833734684
57,-21.0,-20.8,0.7514768435208588,764,0.023052226161280723
58,-21.0,-20.8,0.7477194593032545,764,0.02557678770237201
59,-21.0,-20.8,0.7439808620067382,764,0.02470448617307629
60,-21.0,-21.0,0.7402609576967045,830,0.024619981221411468
61,-21.0,-21.0,0.736559652908221,783,0.02560557527148507
62,-20.0,-20.8,0.7328768546436799,981,0.02472140142424972
63,-20.0,-20.6,0.7292124703704616,838,0.025558600111765598
