episode,score,avg_reward_5,epsilon,steps,loss
109,-21.0,-20.8,0.5790496471185967,826,0.024888871535227564
110,-21.0,-21.0,0.5761543988830038,1032,0.023932333338355722
111,-20.0,-20.8,0.5732736268885887,949,0.022829044528370975
112,-21.0,-20.8,0.5704072587541458,885,0.02345029932228417
113,-20.0,-20.6,0.567555222460375,987,0.023061609678926974
114,-21.0,-20.6,0.5647174463480732,792,0.021997077877710002
115,-19.0,-20.2,0.5618938591163328,935,0.02130079139066041
116,-20.0,-20.2,0.5590843898207511,842,0.020520069722437095
117,-20.0,-20.0,0.5562889678716474,930,0.02316172955168401
118,-21.0,-20.2,0.5535075230322891,947,0.02344181726276314
119,-21.0,-20.2,0.5507399854171277,824,0.02211095128295357
120,-21.0,-20.6,0.547986285490042,867,0.023058543635891843
121,-21.0,-20.8,0.5452463540625918,792,0.024315066457880546
122,-21.0,-21.0,0.5425201222922789,882,0.021919635095004764
123,-21.0,-21.0,0.5398075216808175,876,0.025250767053319693
124,-21.0,-21.0,0.5371084840724134,842,0.023315963055323224
125,-21.0,-21.0,0.5344229416520513,764,0.024421122522163143
126,-20.0,-20.8,0.531750826943791,955,0.02488656176634484
127,-20.0,-20.6,0.5290920728090721,842,0.022444808871345374
128,-21.0,-20.6,0.5264466124450268,783,0.0241774121861168
129,-20.0,-20.4,0.5238143793828016,838,0.023870529092133972
130,-19.0,-20.0,0.5211953074858876,997,0.02291537198546803
131,-21.0,-20.2,0.5185893309484582,885,0.02340319809940575
132,-21.0,-20.4,0.5159963842937159,792,0.023566017574517498
133,-21.0,-20.4,0.5134164023722473,764,0.02437974126859878
134,-20.0,-20.4,0.510849320360386,901,0.02301422949446485
135,-21.0,-20.8,0.5082950737585841,792,0.021670824402242557
136,-20.0,-20.6,0.5057535983897912,838,0.024589647549135903
137,-21.0,-20.6,0.5032248303978422,852,0.021990535470688206
138,-20.0,-20.4,0.500708706245853,866,0.02235142392817886
139,-20.0,-20.4,0.4982051627146237,842,0.0247981675268392
140,-21.0,-20.4,0.49571413690105054,792,0.021803858247820777
141,-21.0,-20.6,0.4932355662165453,871,0.023405318652488447
142,-21.0,-20.6,0.4907693883854626,792,0.025002132043087526
143,-21.0,-20.8,0.4883155414435353,826,0.02264469879513497
144,-21.0,-21.0,0.4858739637363176,792,0.024975606416131023
145,-21.0,-21.0,0.483444593917636,850,0.02467245152740575
146,-21.0,-21.0,0.4810273709480478,912,0.024052596586555234
147,-21.0,-21.0,0.47862223409330756,904,0.025031237528374547
148,-21.0,-21.0,0.47622912292284103,792,0.024574945005088472
149,-21.0,-21.0,0.4738479773082268,883,0.02467800104963706
150,-20.0,-20.8,0.47147873742168567,842,0.024547370141387293
151,-21.0,-20.8,0.46912134373457726,993,0.025056563732461345
